Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,IsAlone,Age_group,Fare_bin,Title_Pclass,Sex_Pclass,IsAlone_AgeGroup,Survived
3,female,27.1,7.75,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
2,male,66.0,10.5,S,Mr,1,True,Senior,1,Mr_2,male_2,True_Senior,0
1,male,28.0,82.1708,C,Mr,2,False,YoungAdult,3,Mr_1,male_1,False_YoungAdult,0
1,male,42.0,52.0,S,Mr,2,False,Adult,3,Mr_1,male_1,False_Adult,0
3,male,24.8,7.2292,C,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,1
3,male,21.0,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,female,18.0,18.0,S,Miss,3,False,Teen,2,Miss_3,female_3,False_Teen,0
3,female,14.0,11.2417,C,Miss,2,False,Teen,1,Miss_3,female_3,False_Teen,1
3,female,40.0,9.475,S,Mrs,2,False,Adult,1,Mrs_3,female_3,False_Adult,0
2,female,27.0,21.0,S,Mrs,2,False,YoungAdult,2,Mrs_2,female_2,False_YoungAdult,0
3,male,27.8,7.8958,C,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,female,3.0,41.5792,C,Miss,4,False,Child,3,Miss_2,female_2,False_Child,1
3,female,19.0,7.8792,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
3,male,27.6,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,30.0,15.5,Q,Mr,2,False,YoungAdult,2,Mr_3,male_3,False_YoungAdult,0
3,female,27.1,7.75,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
3,male,26.4,21.6792,C,Mr,3,False,YoungAdult,2,Mr_3,male_3,False_YoungAdult,0
3,female,18.0,17.8,S,Mrs,2,False,Teen,2,Mrs_3,female_3,False_Teen,0
3,male,7.0,39.6875,S,Master,6,False,Child,3,Master_3,male_3,False_Child,0
3,male,21.0,7.8,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,female,49.0,76.7292,C,Mrs,2,False,Adult,3,Mrs_1,female_1,False_Adult,1
2,female,29.0,26.0,S,Mrs,2,False,YoungAdult,2,Mrs_2,female_2,False_YoungAdult,1
1,male,65.0,61.9792,C,Mr,2,False,Senior,3,Mr_1,male_1,False_Senior,0
1,male,49.4,35.5,S,Mr,1,True,Adult,3,Mr_1,male_1,True_Adult,1
2,female,21.0,10.5,S,Miss,1,True,YoungAdult,1,Miss_2,female_2,True_YoungAdult,1
3,male,28.5,7.2292,C,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,female,5.0,27.75,S,Miss,4,False,Child,2,Miss_2,female_2,False_Child,1
3,male,11.0,46.9,S,Master,8,False,Child,3,Master_3,male_3,False_Child,0
3,male,22.0,7.2292,C,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,female,38.0,80.0,S,Miss,1,True,Adult,3,Miss_1,female_1,True_Adult,1
1,male,45.0,83.475,S,Mr,2,False,Adult,3,Mr_1,male_1,False_Adult,0
3,male,4.0,27.9,S,Master,6,False,Child,2,Master_3,male_3,False_Child,0
1,male,44.9,27.7208,C,Mr,1,True,Adult,2,Mr_1,male_1,True_Adult,0
3,male,21.2,15.2458,C,Master,3,False,YoungAdult,2,Master_3,male_3,False_YoungAdult,1
2,female,29.0,10.5,S,Mrs,1,True,YoungAdult,1,Mrs_2,female_2,True_YoungAdult,1
3,male,19.0,8.1583,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,female,17.0,7.925,S,Miss,7,False,Teen,1,Miss_3,female_3,False_Teen,1
3,male,26.0,8.6625,S,Mr,3,False,YoungAdult,1,Mr_3,male_3,False_YoungAdult,0
2,male,32.0,10.5,S,Mr,1,True,Adult,1,Mr_2,male_2,True_Adult,0
3,female,16.0,46.9,S,Miss,8,False,Teen,3,Miss_3,female_3,False_Teen,0
2,male,21.0,73.5,S,Mr,1,True,YoungAdult,3,Mr_2,male_2,True_YoungAdult,0
3,male,26.0,14.4542,C,Mr,2,False,YoungAdult,1,Mr_3,male_3,False_YoungAdult,0
3,male,32.0,56.4958,S,Mr,1,True,Adult,3,Mr_3,male_3,True_Adult,1
3,male,25.0,7.65,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,male,27.8,7.8958,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,male,27.6,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
2,male,0.83,29.0,S,Master,3,False,Child,2,Master_2,male_2,False_Child,1
3,female,30.0,12.475,S,Miss,1,True,YoungAdult,1,Miss_3,female_3,True_YoungAdult,1
3,male,22.0,9.0,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,29.0,9.5,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,1
3,female,26.2,7.7875,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
1,male,28.0,47.1,S,Mr,1,True,YoungAdult,3,Mr_1,male_1,True_YoungAdult,0
2,female,17.0,10.5,S,Miss,1,True,Teen,1,Miss_2,female_2,True_Teen,1
3,female,33.0,15.85,S,Mrs,4,False,Adult,2,Mrs_3,female_3,False_Adult,1
3,male,16.0,34.375,S,Mr,5,False,Teen,3,Mr_3,male_3,False_Teen,0
3,male,27.6,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
1,female,23.0,263.0,S,Miss,6,False,YoungAdult,3,Miss_1,female_1,False_YoungAdult,1
3,male,24.0,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,29.0,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,20.0,7.8542,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,male,46.0,61.175,S,Mr,2,False,Adult,3,Mr_1,male_1,False_Adult,0
3,male,26.0,20.575,S,Mr,4,False,YoungAdult,2,Mr_3,male_3,False_YoungAdult,0
3,male,59.0,7.25,S,Mr,1,True,Senior,0,Mr_3,male_3,True_Senior,0
3,male,27.6,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
1,male,71.0,34.6542,C,Mr,1,True,Senior,3,Mr_1,male_1,True_Senior,0
1,male,23.0,63.3583,C,Mr,2,False,YoungAdult,3,Mr_1,male_1,False_YoungAdult,1
2,female,34.0,23.0,S,Mrs,2,False,Adult,2,Mrs_2,female_2,False_Adult,1
2,male,34.0,26.0,S,Mr,2,False,Adult,2,Mr_2,male_2,False_Adult,0
3,female,28.0,7.8958,S,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,0
3,male,27.8,7.8958,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,male,21.0,77.2875,S,Mr,2,False,YoungAdult,3,Mr_1,male_1,False_YoungAdult,0
3,male,33.0,8.6542,S,Mr,1,True,Adult,1,Mr_3,male_3,True_Adult,0
3,male,37.0,7.925,S,Mr,3,False,Adult,1,Mr_3,male_3,False_Adult,0
3,male,28.0,7.8958,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,female,21.0,7.65,S,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
3,male,34.4,7.775,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,1
3,male,38.0,7.8958,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,female,31.4,24.15,Q,Miss,2,False,Adult,2,Miss_3,female_3,False_Adult,1
1,male,47.0,52.0,S,Mr,1,True,Adult,3,Mr_1,male_1,True_Adult,0
3,female,14.5,14.4542,C,Miss,2,False,Teen,1,Miss_3,female_3,False_Teen,0
3,male,22.0,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,female,20.0,9.825,S,Miss,2,False,YoungAdult,1,Miss_3,female_3,False_YoungAdult,0
3,female,17.0,14.4583,C,Miss,1,True,Teen,2,Miss_3,female_3,True_Teen,0
3,male,21.0,7.925,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,70.5,7.75,Q,Mr,1,True,Senior,0,Mr_3,male_3,True_Senior,0
2,male,29.0,21.0,S,Mr,2,False,YoungAdult,2,Mr_2,male_2,False_YoungAdult,0
1,male,24.0,247.5208,C,Mr,2,False,YoungAdult,3,Mr_1,male_1,False_YoungAdult,0
3,female,2.0,31.275,S,Miss,7,False,Child,3,Miss_3,female_3,False_Child,0
2,male,21.0,73.5,S,Mr,3,False,YoungAdult,3,Mr_2,male_2,False_YoungAdult,0
3,male,27.6,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
2,male,32.5,30.0708,C,Mr,2,False,Adult,2,Mr_2,male_2,False_Adult,0
2,female,32.5,13.0,S,Miss,1,True,Adult,1,Miss_2,female_2,True_Adult,1
1,male,54.0,77.2875,S,Mr,2,False,Senior,3,Mr_1,male_1,False_Senior,0
3,male,12.0,11.2417,C,Master,2,False,Child,1,Master_3,male_3,False_Child,1
3,male,34.5,7.75,Q,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,24.0,7.1417,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,1
3,female,17.6,22.3583,C,Miss,3,False,Teen,2,Miss_3,female_3,False_Teen,1
3,male,45.0,6.975,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,33.0,7.8958,C,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,20.0,7.05,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,female,47.0,14.5,S,Mrs,2,False,Adult,2,Mrs_3,female_3,False_Adult,0
2,female,29.0,26.0,S,Mrs,2,False,YoungAdult,2,Mrs_2,female_2,False_YoungAdult,1
2,male,25.0,13.0,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
2,male,23.0,15.0458,C,Mr,1,True,YoungAdult,2,Mr_2,male_2,True_YoungAdult,0
1,female,19.0,26.2833,S,Miss,3,False,YoungAdult,2,Miss_1,female_1,False_YoungAdult,1
1,male,37.0,53.1,S,Mr,2,False,Adult,3,Mr_1,male_1,False_Adult,0
3,male,16.0,9.2167,S,Mr,1,True,Teen,1,Mr_3,male_3,True_Teen,0
1,male,24.0,79.2,C,Mr,1,True,YoungAdult,3,Mr_1,male_1,True_YoungAdult,0
3,female,22.5,15.2458,C,Mrs,3,False,YoungAdult,2,Mrs_3,female_3,False_YoungAdult,0
3,female,22.0,7.75,S,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
3,female,24.0,15.85,S,Mrs,2,False,YoungAdult,2,Mrs_3,female_3,False_YoungAdult,1
3,male,19.0,6.75,Q,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,male,18.0,11.5,S,Mr,1,True,Teen,1,Mr_2,male_2,True_Teen,0
2,male,19.0,36.75,S,Mr,3,False,YoungAdult,3,Mr_2,male_2,False_YoungAdult,0
3,male,27.0,7.7958,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,1
3,female,9.0,34.375,S,Miss,5,False,Child,3,Miss_3,female_3,False_Child,0
2,male,36.5,26.0,S,Mr,3,False,Adult,2,Mr_2,male_2,False_Adult,0
2,male,42.0,13.0,S,Rev,1,True,Adult,1,Rev_2,male_2,True_Adult,0
2,male,51.0,12.525,S,Rev,1,True,Senior,1,Rev_2,male_2,True_Senior,0
1,female,22.0,66.6,S,Mrs,2,False,YoungAdult,3,Mrs_1,female_1,False_YoungAdult,1
3,male,55.5,8.05,S,Mr,1,True,Senior,1,Mr_3,male_3,True_Senior,0
3,male,40.5,14.5,S,Mr,3,False,Adult,2,Mr_3,male_3,False_Adult,0
3,male,35.5,7.3125,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
1,male,51.0,61.3792,C,Mr,2,False,Senior,3,Mr_1,male_1,False_Senior,0
3,female,16.0,7.7333,Q,Miss,1,True,Teen,0,Miss_3,female_3,True_Teen,1
3,male,30.0,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,27.2,8.6625,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,37.0,69.55,S,Master,11,False,Adult,3,Master_3,male_3,False_Adult,0
3,male,44.0,16.1,S,Mr,2,False,Adult,2,Mr_3,male_3,False_Adult,0
2,female,40.0,15.75,S,Mrs,1,True,Adult,2,Mrs_2,female_2,True_Adult,1
3,male,26.0,7.775,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,male,17.0,8.6625,S,Mr,1,True,Teen,1,Mr_3,male_3,True_Teen,0
3,male,1.0,39.6875,S,Master,6,False,Child,3,Master_3,male_3,False_Child,0
3,male,9.0,20.525,S,Master,3,False,Child,2,Master_3,male_3,False_Child,1
1,female,33.2,55.0,S,Mrs,2,False,Adult,3,Mrs_1,female_1,False_Adult,1
3,female,45.0,27.9,S,Mrs,6,False,Adult,2,Mrs_3,female_3,False_Adult,0
1,male,44.8,25.925,S,Mr,1,True,Adult,2,Mr_1,male_1,True_Adult,0
3,male,28.0,56.4958,S,Mr,1,True,YoungAdult,3,Mr_3,male_3,True_YoungAdult,0
1,male,61.0,33.5,S,Mr,1,True,Senior,3,Mr_1,male_1,True_Senior,0
3,male,4.0,29.125,Q,Master,6,False,Child,2,Master_3,male_3,False_Child,0
3,female,1.0,11.1333,S,Miss,3,False,Child,1,Miss_3,female_3,False_Child,1
3,male,21.0,7.925,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
1,male,56.0,30.6958,C,Mr,1,True,Senior,2,Mr_1,male_1,True_Senior,0
3,male,18.0,7.8542,S,Mr,3,False,Teen,0,Mr_3,male_3,False_Teen,0
3,male,16.8,25.4667,S,Master,5,False,Teen,2,Master_3,male_3,False_Teen,0
1,female,50.0,28.7125,C,Miss,1,True,Adult,2,Miss_1,female_1,True_Adult,0
2,male,30.0,13.0,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,male,36.0,0.0,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,female,37.0,69.55,S,Miss,11,False,Adult,3,Miss_3,female_3,False_Adult,0
2,male,36.6,15.05,C,Mr,1,True,Adult,2,Mr_2,male_2,True_Adult,0
3,male,9.0,31.3875,S,Master,7,False,Child,3,Master_3,male_3,False_Child,0
2,male,1.0,39.0,S,Master,4,False,Child,3,Master_2,male_2,False_Child,1
3,female,4.0,22.025,S,Miss,3,False,Child,2,Miss_3,female_3,False_Child,1
1,male,45.4,50.0,S,Mr,1,True,Adult,3,Mr_1,male_1,True_Adult,0
3,female,33.0,15.5,Q,Mrs,2,False,Adult,2,Mrs_3,female_3,False_Adult,1
1,male,45.0,26.55,S,Mr,1,True,Adult,2,Mr_1,male_1,True_Adult,1
3,male,40.0,15.5,Q,Mr,3,False,Adult,2,Mr_3,male_3,False_Adult,0
3,male,36.0,7.8958,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
2,female,32.0,13.0,S,Mrs,1,True,Adult,1,Mrs_2,female_2,True_Adult,1
2,male,19.0,13.0,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,female,19.0,7.8542,S,Miss,2,False,YoungAdult,0,Miss_3,female_3,False_YoungAdult,1
2,male,3.0,26.0,S,Master,3,False,Child,2,Master_2,male_2,False_Child,1
1,female,44.0,27.7208,C,Mrs,1,True,Adult,2,Mrs_1,female_1,True_Adult,1
1,female,58.0,146.5208,C,Miss,1,True,Senior,3,Miss_1,female_1,True_Senior,1
3,male,34.5,7.75,Q,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,42.0,8.4042,S,Mr,2,False,Adult,1,Mr_3,male_3,False_Adult,0
3,female,27.1,7.75,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
2,female,24.0,13.0,S,Miss,1,True,YoungAdult,1,Miss_2,female_2,True_YoungAdult,0
3,male,28.0,9.5,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,37.0,69.55,S,Mr,11,False,Adult,3,Mr_3,male_3,False_Adult,0
3,male,34.0,6.4958,S,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,45.5,7.225,C,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,18.0,8.05,S,Mr,1,True,Teen,1,Mr_3,male_3,True_Teen,1
3,female,2.0,10.4625,S,Miss,2,False,Child,1,Miss_3,female_3,False_Child,0
3,male,32.0,15.85,S,Mr,2,False,Adult,2,Mr_3,male_3,False_Adult,0
3,male,26.0,18.7875,C,Mr,1,True,YoungAdult,2,Mr_3,male_3,True_YoungAdult,1
3,female,16.0,7.75,Q,Miss,1,True,Teen,0,Miss_3,female_3,True_Teen,1
1,male,40.0,31.0,C,Mr,1,True,Adult,2,Mr_1,male_1,True_Adult,1
3,male,24.0,7.05,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,female,35.0,21.0,S,Miss,1,True,Adult,2,Miss_2,female_2,True_Adult,1
3,male,22.0,7.25,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,male,30.0,13.0,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,male,23.6,7.75,Q,Mr,2,False,YoungAdult,0,Mr_3,male_3,False_YoungAdult,0
1,female,31.0,113.275,C,Miss,2,False,Adult,3,Miss_1,female_1,False_Adult,1
3,female,27.0,7.925,S,Miss,1,True,YoungAdult,1,Miss_3,female_3,True_YoungAdult,1
2,male,42.0,27.0,S,Mr,2,False,Adult,2,Mr_2,male_2,False_Adult,0
1,female,32.0,76.2917,C,Miss,1,True,Adult,3,Miss_1,female_1,True_Adult,1
2,male,30.0,10.5,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,male,16.0,8.05,S,Mr,1,True,Teen,1,Mr_3,male_3,True_Teen,1
2,male,27.0,13.0,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,male,51.0,8.05,S,Mr,1,True,Senior,1,Mr_3,male_3,True_Senior,0
3,male,27.8,7.8958,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,male,38.0,90.0,S,Mr,2,False,Adult,3,Mr_1,male_1,False_Adult,1
3,male,22.0,9.35,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
2,male,19.0,10.5,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,1
3,male,20.5,7.25,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,male,18.0,13.0,S,Mr,1,True,Teen,1,Mr_2,male_2,True_Teen,0
3,female,21.4,25.4667,S,Miss,5,False,YoungAdult,2,Miss_3,female_3,False_YoungAdult,0
1,female,35.0,83.475,S,Mrs,2,False,Adult,3,Mrs_1,female_1,False_Adult,1
3,male,29.0,7.775,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
2,male,59.0,13.5,S,Mr,1,True,Senior,1,Mr_2,male_2,True_Senior,0
3,female,5.0,31.3875,S,Miss,7,False,Child,3,Miss_3,female_3,False_Child,1
2,male,24.0,10.5,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,female,21.7,7.55,S,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,0
2,male,44.0,26.0,S,Mr,2,False,Adult,2,Mr_2,male_2,False_Adult,0
2,female,8.0,26.25,S,Miss,3,False,Child,2,Miss_2,female_2,False_Child,1
2,male,19.0,10.5,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
2,male,33.0,12.275,S,Mr,1,True,Adult,1,Mr_2,male_2,True_Adult,0
3,female,25.9,14.4542,C,Miss,2,False,YoungAdult,1,Miss_3,female_3,False_YoungAdult,0
3,female,33.0,15.5,Q,Miss,2,False,Adult,2,Miss_3,female_3,False_Adult,1
2,male,29.0,10.5,S,Mr,1,True,YoungAdult,1,Mr_2,male_2,True_YoungAdult,0
3,male,22.0,7.125,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,male,30.0,7.225,C,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,male,44.0,90.0,Q,Dr,3,False,Adult,3,Dr_1,male_1,False_Adult,0
3,female,25.0,7.775,S,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,0
2,female,24.0,14.5,S,Mrs,3,False,YoungAdult,2,Mrs_2,female_2,False_YoungAdult,1
1,male,37.0,52.5542,S,Mr,3,False,Adult,3,Mr_1,male_1,False_Adult,1
2,male,54.0,26.0,S,Rev,2,False,Senior,2,Rev_2,male_2,False_Senior,0
3,male,29.5,7.25,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
3,female,29.0,10.4625,S,Mrs,3,False,YoungAdult,1,Mrs_3,female_3,False_YoungAdult,0
1,male,62.0,26.55,S,Mr,1,True,Senior,2,Mr_1,male_1,True_Senior,0
3,male,30.0,16.1,S,Mr,2,False,YoungAdult,2,Mr_3,male_3,False_YoungAdult,0
3,female,41.0,20.2125,S,Mrs,3,False,Adult,2,Mrs_3,female_3,False_Adult,0
3,female,29.0,15.2458,C,Mrs,3,False,YoungAdult,2,Mrs_3,female_3,False_YoungAdult,1
1,female,39.2,79.2,C,Mrs,1,True,Adult,3,Mrs_1,female_1,True_Adult,1
1,female,30.0,86.5,S,Miss,1,True,YoungAdult,3,Miss_1,female_1,True_YoungAdult,1
1,female,35.0,512.3292,C,Miss,1,True,Adult,3,Miss_1,female_1,True_Adult,1
2,female,50.0,26.0,S,Mrs,2,False,Adult,2,Mrs_2,female_2,False_Adult,1
3,male,34.5,7.75,Q,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
3,male,3.0,31.3875,S,Master,7,False,Child,3,Master_3,male_3,False_Child,1
1,male,52.0,79.65,S,Mr,3,False,Senior,3,Mr_1,male_1,False_Senior,0
1,male,40.0,0.0,S,Mr,1,True,Adult,0,Mr_1,male_1,True_Adult,0
3,female,27.1,7.75,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,0
2,male,36.0,10.5,S,Mr,1,True,Adult,1,Mr_2,male_2,True_Adult,0
3,male,16.0,39.6875,S,Mr,6,False,Teen,3,Mr_3,male_3,False_Teen,0
3,male,25.0,7.775,S,Mr,2,False,YoungAdult,0,Mr_3,male_3,False_YoungAdult,1
1,female,58.0,153.4625,S,Mrs,2,False,Senior,3,Mrs_1,female_1,False_Senior,1
1,female,35.0,135.6333,S,Miss,1,True,Adult,3,Miss_1,female_1,True_Adult,1
1,male,47.0,31.0,S,Mr,1,True,Adult,2,Mr_1,male_1,True_Adult,0
3,male,25.0,0.0,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,1
2,female,41.0,19.5,S,Mrs,2,False,Adult,2,Mrs_2,female_2,False_Adult,1
1,male,37.0,29.7,C,Mr,2,False,Adult,2,Mr_1,male_1,False_Adult,0
3,female,27.1,7.75,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
1,female,63.0,77.9583,S,Miss,2,False,Senior,3,Miss_1,female_1,False_Senior,1
3,female,45.0,7.75,S,Miss,1,True,Adult,0,Miss_3,female_3,True_Adult,0
2,male,36.2,0.0,S,Mr,1,True,Adult,0,Mr_2,male_2,True_Adult,0
3,male,7.0,29.125,Q,Master,6,False,Child,2,Master_3,male_3,False_Child,0
3,female,35.0,20.25,S,Mrs,3,False,Adult,2,Mrs_3,female_3,False_Adult,1
3,male,65.0,7.75,Q,Mr,1,True,Senior,0,Mr_3,male_3,True_Senior,0
3,male,28.0,7.8542,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
